City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,tomatlan,19.9333,-105.25,20.26,77,0,1.23,MX,1679363048
237,hualmay,-11.0964,-77.6139,23.9,82,100,2.91,PE,1679362785
238,oktyabrskiy,54.4815,53.471,-4.75,92,62,2.75,RU,1679363049
239,panjakent,39.4952,67.6093,7.19,59,0,3.79,TJ,1679362947
240,rawson,-43.3002,-65.1023,14.86,59,100,4.34,AR,1679362949
241,aleksandrov gay,50.147,48.5704,5.45,68,100,3.47,RU,1679363052
242,esperance,-33.8667,121.9,23.25,58,12,5.31,AU,1679362947
243,umm kaddadah,13.6017,26.6876,21.24,17,74,6.23,SD,1679363053
244,dunedin,-45.8742,170.5036,9.81,79,100,11.62,NZ,1679362945
245,sao joao da barra,-21.6403,-41.0511,25.21,86,88,7.3,BR,1679362946
246,norman wells,65.282,-126.8329,-3.98,58,20,6.17,CA,1679362944
247,thinadhoo,0.5333,72.9333,27.49,77,100,4.09,MV,1679362945
248,finote selam,10.7,37.2667,15.14,28,79,1.61,ET,1679363058
249,ust-ilimsk,58.0006,102.6619,-17.15,86,56,0.89,RU,1679363058
250,hofn,64.2539,-15.2082,-2.77,82,100,11.41,IS,1679363059
251,ancud,-41.8697,-73.8203,9.45,87,100,1.86,CL,1679362947
252,san cristobal,7.7669,-72.225,22.1,77,100,0.95,VE,1679362947
253,la primavera,5.4906,-70.4092,28.82,34,100,2.45,CO,1679363061
254,noumea,-22.2763,166.4572,28.99,64,5,7.95,NC,1679362853
255,kambove,-10.8764,26.5969,15.0,97,100,1.74,CD,1679363062
256,marabba,12.35,32.1833,23.63,14,15,5.55,SD,1679363063
257,nome,64.5011,-165.4064,-0.96,93,100,14.4,US,1679363064
258,birjand,32.8663,59.2211,12.26,35,38,8.23,IR,1679363065
259,yulara,-25.2406,130.9889,34.85,17,33,4.92,AU,1679362653
260,ozernovskiy,51.5,156.5167,-1.37,69,60,5.09,RU,1679363066
261,caraz,-9.0486,-77.81,15.03,85,99,0.62,PE,1679363066
262,bafoulabe,13.8065,-10.8321,29.35,13,0,1.86,ML,1679363067
263,kahului,20.8947,-156.47,29.01,63,40,8.23,US,1679362777
264,vigrestad,58.5667,5.7,2.2,83,99,2.7,NO,1679363068
265,camacha,33.0833,-16.3333,14.68,67,40,4.12,PT,1679363069
266,nanga eboko,4.6833,12.3667,20.93,95,97,1.33,CM,1679363070
